,Actor,Quotes
206,Nia Sharma,"I am fine battling lions, tigers, snakes, bulls, even hippopotamuses, but not lizards.After 'Jamai Raja,' I wanted to experiment, hence tried my hands at 'Comedy Nights Bachao Taaza.'It's good to be in the news for whatever reason. I can't pretend that I am not enjoying the attention. Being popular is a good thing.Yes, my fashion sense is outrageous, but I am a rebel. I am young and still growing up.I played a bahu for six years on-screen. I really wanted to come out of that.I don't think I am even that popular. In fact, people must be wondering who the hell Nia Sharma is!Frankly, TV stars are not that popular. In fact, I don't have even have a million followers on any of social media accounts.I am really conscious about what I wear and how I look. I am glad that media has acknowledged this. Over the years, I have really groomed myself.TV stars don't know how to dress up, and they have to hire a stylist. This is true to a great extent. That's why I go out of my way to experiment. Sometimes I hit the bullseye, sometimes I miss.People like my fashion sense a lot, but somehow, I never got a chance to wear stuff that I love on screen."
207,Nikita Dutta,"My poker face makes it difficult for people to figure out what's on my mind.It's better to take the good that comes your way instead of sitting around and waiting.Things for me have quite changed after 'Kabir Singh,' and I am happy with the way things are shaping up.I am excited to be a part of Netflix's 'Maska.' We have a stupendous powerhouse of talent.I didn't do anything productive during my break after 'Dream Girl.' I didn't even take a vacation!In 'Ek Duje'... I play Suman, a girl who runs her own tiffin service in Delhi. She is calm and composed at home but quite bold when it comes to facing the outside world.When a show ends, I need some time to chill, as I feel that I have grown five years older after doing it! I need at least a month to rejuvenate. This happens with Indian TV shows. If you do a show continuously for more than a year, you feel 10 years older.Doing a TV show is like temporarily getting married to it.My idea of chilling is to detox, and after you complete a project, there's so much to unlearn and start afresh.In Mumbai, life is always on the go, but in Delhi, I get a break; it gives me a lot of peace. Here I feel like I am on a pampered holiday, and I am treated like a princess."
208,Nimrat Kaur,"Nothing in my background has anything to do with films. In that sense, I am a complete outsider.My dad was in the Indian Army. He died in a terrorist attack in Kashmir in 1994. After that, my mum and I settled in Noida. I went to Delhi Public School in Noida and then to Shri Ram College of Commerce in Delhi University. It was in college that I realised I wanted to be on the stage and in front of the camera.I have no plan. I will leave it to the good things and good times to find me.I like to be prepared enough to be completely unprepared. I don't know if I make sense, but I have a fantasy of living someone else's life. And to do that perfectly, I need to prepare myself just as properly.Someone very important once told me, 'You can make almost everything look great.' That's the best compliment I have received till date.I opt for clothes that complement my body type. I am not someone who will go for something just because it is trendy and not look good on me. I would choose clothes which are comfortable and accentuate my body type.I am a pretty emotional person. Any act of kindness or unkindness moves me. When I see a romantic couple sitting by the beach, it moves me. I don't break down or crack under pressure, but I am just sensitive.As an actor, there are many confusing factors that can make you take or not take a decision. It becomes difficult. Your first and last checkpoint should be the story. I always read a script as an audience.'The Lunchbox' has been a blessing - all gift-wrapped and tied with a bow. Life is a lunchbox of chocolates now!These are stories you hear... of people sitting in a mall and being spotted, and you think it will happen to you. And when you're fresh off the boat, and new in Bombay, you want those kind of things! They are magical fables. You want to, somewhere, be a part of it, something people will read about. But reality is different."
209,Nithya Menen,"I am not bothered about if my role in a film is small or big. Because if the character I am offered is sensible, I would do it even if it is small.I am not an actress who only wants to do lead roles.I've no apprehensions and inhibitions as an actor.As an actress, I should be able to do all types of roles.I am just an actor, and this is my job. What I am doing is not extraordinary.I don't think I am really awesome. I think I have basic qualification to be an actor.It doesn't feel great to be compared to Genelia or anyone. I don't want to be compared, and I would like to think I am different.Soundarya was always respected, and she is looked at in a certain way that I always would like to be looked upon as an actress.Acting is emotionally draining, so I make it a point to not do anything when I am home.Acting was never planned."
210,Nushrat Bharucha,"I do have my cheat days, but I prefer to follow this vegan diet because it keeps my body and mind both happy.It's a fight for every actor to surpass what they have done in their previous film, especially when it is accepted hugely.Everyone loved 'Pyaar Ka Punchnama,' and it appealed to a mass.If the packaging is good - the actors, director and producer - then it will work, even if the product is not good.I knew people would see 'PKP.' Although the packaging was weak, the product was good.This whole concept of basket chaat is so unique, and it is really yummy!Frankly speaking, during the making of 'Sonu Ke Titu Ki Sweety,' we never realised that the movie is going to be such a hit and that it will change our lives so much. There have been movies which have done really well at the box office, but rarely do we have movies where actors get so much love and adulation from their fans.The audience's reaction is the most rewarding thing for an actor, especially me.I want to actually date someone who is not from this industry.I don't know how to swim."
211,Parineeti Chopra,"I don't think I have a genre at all.I'm just trying to do all kinds of films.It's an honour for me to work with Rohit Shetty. He is the biggest commercial director of the country, making the biggest franchise, 'Golmaal.'We are what we are because of the people in our lives. What would I be without my family and close friends?I count the weeks and days before my birthday.If someone close to me forgets my birthday, I am heartbroken.I am not one of those actresses who says she has no time for love.This 'bubbly' word, I am personally going to take it up as an agenda to ban it. Colas are bubbly. Champagne is bubbly. I am not bubbly!I think directors look at me because I am an energetic person with a strong personality and always like to make people laugh.I am a responsible person. I plan a lot. I am disciplined."
212,Parvathy,"If I am going to be phased out by whatever powers, then I want people to know that it is not because I am bad at my work.My career strategy has never been the most important thing; my conscience is.Even with me, there are so many things I have bottled up.I am not the kind of person who shouts out.Bollywood marketing is larger-than-life. Honestly, it amuses me.Everybody has a priority. Mine is simple and clean acting, and my work, irrespective of the industry I am in, will not cater to anything else.I have been in the industry for 11 years but still feel excited about my work. That is what keeps any actor going.There is casting couch in the Malayalam industry.Sameera, my character in 'Take Off,' was extremely intense.As an artist, my only relationship to my audience is through my work. That relationship is sacred to me."
213,Persis Khambatta,"Basically, they had asked me if I would shave my head or wear a bald cap. I said look, if you are doing a series for five years I would want to shave my hair because I would go bald with all the gum and glue from the bald cap.Besides, a bald cap would have never looked real.I was thrilled, because I like the big screen and I could then move on to the next thing. It was the biggest break for me. In a way, though, I wish it had been a TV series because then you are working for five years.I also had this artist friend who'd paint butterflies and things like that on my head.Maybe I'm being philosophical and spiritual, but I believe that if you put negative energy out there that that is what will come back.Creative people are very insecure people because they don't know whether people like them or are in awe of them. That insecurity always comes out. It makes them a better actor, I feel.I mean, every Star Trek episode you saw was just phenomenal.Gene Roddenberry was a genius.I arrived in Hollywood and lived much of my life in America, but the fans did not really know me.I only went to one Star Trek convention and that was in the late '80s. I hadn't gone to a convention before that. It was quite amusing, with the people dressed up and all of that."
214,Pratyusha Banerjee,"I liked models since I was 3 years old. As I grew older, I started developing a penchant towards makeup, pedicures, etc. I used to carry out the procedures at my home itself.I quit 'Jhalak' for 'Balika Vadhu.' I suffered from dengue; I was in ICU for three days, and then I quit 'Balika Vadhu.' I needed a change and wanted to experience new things.I connect with very few close friends in real life.I'd rather not think about the unpleasant side of the experience. 'Bigg Boss' is the biggest reality-show in India and perhaps in the world. I went into it on a clean slate.My family supports me, since they trust me not to do anything wrong.People are bound to comment, and that means they are following me.Everybody thinks you're wrong and that you're a kid, and hence, you should shut up. Such reactions hurt me. I can think for myself.Just because people are older, they don't have the right to tell you what's right and wrong.I wanted to show the world the real Pratyusha.I love TV and am happy doing TV shows."
215,Preity Zinta,"In my career as an actress, I have never got involved with anybody from the world of films. I have always kept my professional and personal life separate, as that's my policy.I've learnt that there's a soul mate somewhere in this world. Till you don't find that person, the search goes on.What I've learnt is never to work with the person you are in a relationship with because sometimes you need a break.I've never cheated or been cheated upon. I've seen my parents together and secure. So I feel the same way. Infidelity stems from low self-esteem. You want to cheat when you don't feel good about yourself.If women want to be treated equally, then they can't ask for sops and whine about not being treated equally. All I'll say is no guts, no glory for men or women.I feel really humbled because I decided to go on Twitter, and all of my fans on Twitter say one thing consistently every single day, and that is, 'When are you coming back in movies?' I didn't even think people missed me that much.I moved to cricket at a time when I was at the peak of my career, and I can guarantee you that no one else from Bollywood would have done that.If some actress thinks she is sexy and she can dance, it's her choice. I do what I want to do, and I set my own benchmark. I will never compare myself with anyone.Two things in India are religion - one is cricket, and one is movies - these are two things.In the end of the day, you are human. Film is a job which is not an individual job; you have tons and tons of people behind you - you have a whole crew of people working. But, an actor is the face of a film, so you get all of the good things, but you get the bad things, also."
216,Priyanka Chopra,"I live cinema and passionately love music, and my efforts in both these crafts are unfolding.I got into the movies by accident. When I got an offer, I thought, 'Let's try this, too.' Everything in my life has happened by trial and error. I didn't even think I would win the Miss India title, so where's the question of thinking I'd come this far.I adore watching movies; movie marathons are my favorite pastime. I can watch up to five movies back to back. I also love music and like reading whenever I get the time.I believe destiny and hard work go hand in hand. I was studying to be an engineer when my mom and my brother sent my pictures for the Miss India contest. I didn't even know about it. If that isn't destiny, what is?I don't come from a film background. I haven't learned anything about films or film-making. But I have a thirst to know everything about my profession. I want to learn about cinematography, about editing, about music recordings, about post-production. So when people in the know talk, I willingly listen.I have a very eclectic taste when it comes to music.If two of your films don't do well, people say you're out in the cold and your career is over. One film does well, and you've had the best year of your life! I don't believe in all that's written.As a musician, I know that it'll take time for me to get to the ranks of an established artiste. Nevertheless, I'm very happy that people are appreciating my music.As a girl, I am this stupid, emotional, very loyal, sort of believe-in-values-and-principals sort of girl.There are cliques in Bollywood, and people stick together, but I have always tried to stick to my work. As an industry, Bollywood is very competitive, and I'm very competitive as a person, but I've never been a part of any clique, and I've always worked with all actors and directors, all camps."
217,Raashi Khanna,"Initially, when you start working out, it takes at least six months for the results to show.I have always taken it very easy, believed in myself. Whatever I bring to the table, I put my heart and soul into it.I would love to work with everyone, but I am not desperate. Things will happen eventually.I struggled a bit with Malayalam, but it was easier speaking Tamil; it is closer to Telugu.I think for a heroine to do comedy and action and also be glamorous is a big thing. That's why 'Supreme' will be very close to my heart.I didn't overcome my shyness. I am still shy.There is nothing like getting a performance-oriented role.I don't think I was bubbly in 'Oohalu Gusagusalade.' It was a real character.I am a complete sucker for family time.My Hyderabad home is an extension to my family's Delhi residence."
218,Radha Ravi,"There is nothing wrong with Radha Ravi calling women to his office. There's nothing wrong if a man calls women to his office. There is something wrong if a man calls men to his office.I've been a character artiste for four decades, and in our job, we learn very early that it doesn't pay to be narcissistic.Good looks may be enough for a heroine, but to become an artiste, you need at least a working knowledge of the language.Maybe actors are more passionate about cinema than actresses. Many heroines today seem unable to look beyond glamour.Item song dancers like Silk Smitha and Jayamalini have become irrelevant. The heroines are doing those dances themselves.When I'm given a role, I'm consumed by a passion to bring to life a character that exists only on paper. I mull over the character for days and internalise his feelings.It doesn't matter if I have experienced actors alongside or novices. It doesn't matter if the director is one film old or a hundred. All I'm interested in is doing justice to the role.It's a pity I have been stereotyped as a villain.When a director narrates a character, I find it normal to ask questions about the character's background, mood swings, eccentricities, behaviour... I do this to make my performance relatable. Directors who don't know their characters well find it difficult to answer these questions and, hence, find me annoying.None who has passed through the portals of UAA has been a failure. From the former Chief Minister, Jayalalithaa, to Lakshmi, Cho, Nagesh, Moulee, Srikanth, ARS and I, all have been a part of UAA."
219,Radhika Apte,"When in doubt, always wear black.Look after all those lovely peculiarities in your face, your body, and yourself.I'm friends with all my contemporaries.We have so many male superstars, but there are just a few female actors who have attained that status. It is not only because of the industry; it's in the society.I think if a Swiss watch can come to the country and have their own corporate stores, a Pakistani actor should come here and do a film here in India.If you are an industry kid, the first film is given to you on a platter. However, the pressure and expectations are immense.There is no set way of getting a role - you don't give an exam, score well, and then nail a film.Though I have achieved a little bit in my career, I have to continue working hard.The image of an actor plays a huge role in deciding if he or she can experiment with roles.It's not just about looking shocked if the scene demands it. It's about feeling that emotion. You can't lie to the camera, because it captures everything. This is what I have learnt over the years."
220,Radhika Pandit,"The first time I ever attended a Varamahalakshmi puje was when I was introduced by Yash to his family and kind of made it official that we are in a relationship.For me, summer holidays, vacations, New Year, and any trip away from Bengaluru meant going to Goa. My mother is from there.There is pressure from day one when you start your career.I've always striven to ensure that I work on one film at a time.While I don't claim that I feel no pressure, I have strived to take up only those scripts that appeal to me. I've been lucky that the ones I chose were also liked by audiences.Getting the right script that will work at the BO and relate to the audience is what matters. You also need a great director to bring the script to the screen in a form you envisioned it to be.All of us are in search of something or the other, be it dreams or success.All the projects that I am part of get delayed for reasons beyond my control!'Adhoori' and 'Sagar' took a long time to complete.An award, to me, means a bonus. It's not that an actor works for an award. I don't work for an award. But, when you get an award, it is encouraging and inspiring and reminds you that you need to do well."
221,Rakul Preet Singh,"Reviewers are entitled to say if they liked the screenplay, performance, and execution of a film or not. But when they say things like the film doesn't cater to a certain audience, it leaves people wondering if they should watch it.Everyone gets a raise when they do well. No one asked me what I got for my initial films. There was a time I got paid Rs. 6 lakh. I charge what producers are willing to pay me.In 10 months, I was replaced from three films. That's when I realised I need to take my work seriously. It's a blessing I didn't get things easy. If I had, I wouldn't realise the value of success.Speaking in broken Telugu is one thing, and dubbing is another.A lot of hard work goes into making a film. It's not all fun time, as people tend to think. There are always stereotypes attached to every profession, but I found out this industry breaks them all.A newcomer needs to be careful as to what kind of role they choose. If you choose something different, you will end up getting typecast. That's why I chose to play a character my age, to keep my options open for the future.Hindi film and southern film industries are doing well when it comes to technical know how. By and large, they are pretty similar and are close knit industries.Before I came to Bollywood, lot of people told me that here things are not very professional, but I've had no such experience.If I wasn't an actress, I'd never wear make up. I liked being ready in half an hour and arrive on the sets. Even for a no-makeup look, if one has a dark under-eye on a particular day, a little makeup is used. I had no scope for that as well.I've seen 'Legend'. I like a different kind of cinema, but when done with conviction, anything looks good."
222,Rani Mukerji,"I think there is a lot of space for people to love who they love, and a lot of space for actors to carve a niche for themselves.Though I technically come from a film family, my father had stopped making films even before my brother and I were born. So I did not really grow up in a filmi environment. And when I was growing up, becoming an actress was still quite a taboo. And you may not believe this, but even my father did not want me to join films.My understanding of films was just as much as any young girl who watches Bollywood films. I had no idea about the whole process of filmmaking, about dialogue writing, scripts, screenplay etc. I had probably gone to two or three film shoots in my childhood.When I plan to settle down, I will announce it to the world. Marriage is an occasion to celebrate. I'll celebrate it when it happens, letting everyone know about it.People miss those who they love. It brings tears to my eyes to see the longing for me. But it's my decision to do fewer films and more protagonist-based roles. For me to take up something, it has to make a lot of sense to me.Not all offers I get are exciting and inspiring. I would rather sit at home and not work than jump into mediocrity for the sake of just moving ahead. If it's a good script, I would sacrifice my personal time and grab it.When I turned 30, I realised the value of time and with it, the other important things in life. That's when I did up my house, started spending time with my family and friends and did all that a normal girl would do. All these things I was balancing with my work.A filmmaker chooses an actress keeping the best interest of the film in mind. If he doesn't cast you, it doesn't mean there's a personal agenda. Change is constant, and if you have agreed to be part of this industry, you will have to go with the change. The films and filmmakers, even the audience has changed.Every actor is alive because of his/her fans. I'm glad that my fans love me so much. I have an immense responsibility towards them. That's why I'm careful while signing a film. What is also important is to judge whether I would like to watch the film as an audience or not.You work with some people, you see a spark in them and you can't help praising them. But everyone has their own destiny. No one can make anyone. Who reaches where and when, is all written."
223,Rashami Desai,"People pass a lot of judgment about each other in India, and that is a tendency I don't like.As a person I don't judge others because I have no idea what circumstances they are in.The rumours and link-ups with my co-stars are upsetting. Is it a crime to be a divorcee and a single woman? Does being a divorcee mean you can't have a life?If I go out with my girlfriends, no one has an issue, but if I put up a post with a male friend or I'm seen chatting with a co-star, there is unnecessary speculation. What wrong am I doing that I'm being treated this way?I am scared of stepping out of the house, because of what people will think of me. In our society, men and women are looked at differently anyway, and that's even truer if you are an actress.Being a divorcee and single is very tough for me.My relationship was always abusive, so I chose to not socialise much. People who knew me knew that what pain I was going through.I am not getting married on a show.I know how to cook, so working in the kitchen will never be an issue.I have no qualms sharing my stuff with others. Whether it is a bed or any other stuff."
224,Rasika Dugal,"Filmmaking, it has been my first love.There’s a difference betw­een being a star and an actor. If you feed off from being in the public eye, this is the unfortunate flipside to it.It is exciting to see the different genres that audiences want to watch. The response to a show like 'Mirzapur' last year and to Delhi Crime earlier this year was so encouraging and a proof that good content is the new formula.I am enjoying the abundance and variety of work on the web.Infidelity is a fairly common occurrence in society but very often not spoken about.The kind of scripts I have read for web shows have been outstanding.I have also done a web show called 'Delhi Police'. It is about the investigation around the Nirbhaya case. It is also very path-breaking and interesting.But, as an actor, the role that I enjoyed, in terms of really understanding and appreciating this profession, was Anoop Singh’s 'Qissa'.The problem is never the audience, it has always been the distribution. The digital space is proof that the audience is quite accepting.Because I feel as actors we are required to be vulnerable, it is a part of our job. So the space that you are being vulnerable in should respect that, otherwise it is not worth it."
225,Raveena Tandon,"I never did my eyebrows in most of my early films.I have always said what is in my heart.In 'Maatr,' we do not justify taking the law into our hands. That's not the right thing to do. We are not promoting that.I have stood on my own feet.I have never been scared, and people know that.I feel bad when my film flops.I have been to Kargil, and I have seen the tragedy that both the Indians and the Pakistanis faced.A female celebrity just has to chat and smile with a guy for him to become the new man in her life. Amazing.The fact is many of these guys whom I was supposed to be seeing are my buddies. I've always been the bum chum kinda girl.I'm on backslapping terms with everyone from Sanjay Dutt to Sanjay Kapoor. That's why wives never feel threatened by my presence in their husband's lives. They know if I'm their husband's friend, I'm the wife's buddy as well."
226,Ritika Singh,"I never wanted to be an actress. I am a martial arts fighter.I have done 'Shivalinga' because I liked the story. My character, especially, is very impressive.Compared to boxing, acting is more difficult. I have learnt martial arts and boxing since childhood. So, they were easier.I am very happy to have debuted in Telugu with a film like 'Guru.'My main goal for taking up acting as a profession was to show that sport or MMA teaches you life skills that can be applied to any profession in the world.I began fighting to stay fit and experience everything equally; hence, I took up kickboxing.Whenever I go to any particular event, people are shocked that I'm a fighter. To be a fighter, I have to look a certain way, and to be an actress, I have to look a certain way. I have to change that; I've joined acting to do meaningful cinema and to show that there is much more than glamour that actresses can offer.Sport has taught me never to be jealous of someone or insecure if somebody is doing well. It's taught me teamwork and the value of patience. Even If I lose, I know that I've actually not lost.I never thought of acting Bollywood. I have not seen many films.I was crazy about martial arts. At the age of three, I started training in karate."
227,Roop Durgapal,"Zumba is so energising and refreshing. It's totally fun. My face turns red at the end of the session, and I feel like I am ready to take over the world.I was pushed into Zumba by one of the trainers in my gym. He saw me looking inside the Zumba room, so he told me to just go and start.I would love to do a love story or a socially relevant drama. Something on the lines of Netflix originals. I would love to explore the big screen, too.I have several Gujarati friends in Mumbai, and I keep eating from their tiffin boxes whenever we meet. I love Gujarati food!I love the affection that people in Gujarat shower artists with.The best part about reality shows is that they make you a well known name.It was nice working with a jolly team in 'Gangaa.' I was well-acquainted with the production team, which was same on 'Balika Vadhu.'If something is done without objectifying, it can be beautiful.I had water phobia since childhood without any reason as such.I am not in the favour of a girl running after a guy. My traditional thinking is that a guy should pursue first. Personally, also, I would never run after a guy."
228,Roopa Ganguly,"I think it is very difficult for a man to accept a celebrity as his wife. One has to be extremely emancipated to do it. No Indian male is.I never accepted any invitation which came only in my name. I never took any calls before 9am and after 10pm. As soon as my shoot would wrap up, I used to head home without even removing my make-up. I did everything that a girl should to keep her man happy.My marriage was always my first priority. I had left my career to go and settle with Dhrubo in Kolkata. I have never behaved like a celebrity at home.Pray for me, I need happiness in life. It was a very tough decision to leave my husband and son and come away to Mumbai and start all over again.I still feel the affection of the fans that I get because of my acting career.I want to build the India that we all want.I have always worked with utmost care. I have given my 25 years. I seemed I have more to offer than just acting. So, there is no regret.I have always been brazen. That's why I can't tolerate corruption.Even before I became an artiste, when I barely had the means to support anyone financially, I took care of several destitute women, giving them shelter, food and clothing.I have seen poverty first hand. My parents were not well-off. They were in Ban'gladesh and I - just a child then - was sent off to live in my uncle's house in Calcutta."
229,Sai Pallavi,"I always wanted to create awareness and spread the word that it is important to respect one's own body and work towards its well-being.When I am in India, I feel pampered. However, when I am In Georgia, I am on my own, as I have to cook and do things all by myself. However, that gives me an independent feeling.I believe if you are destined to do something, things will definitely happen.Since my childhood, I used to tell my parents to keep a tab on their health as if I was a doctor. Now I am officially one, and I hope my parents will finally take me seriously!I love dancing, and I dance for my own happiness.I've turned down a few roles because I couldn't see myself in them.When you work with someone like Dulquer Salmaan, you tend to get a bit intimidated.I have never used makeup in my life. I'm not fond of it at all. I love myself the way I am, and I try my best not to use it - the only things I use are sun screen and eyeliner.I drank tea for the first time during the shoot of 'Premam.'I find happiness in the tiniest things."
230,Sakshi Tanwar,"I think I've become the brand ambassador of arranged marriages, especially for working Indian women.I'm not desperately looking for a man, but I'm sure one of these days, I'll find my Mr. Right.I have been fortunate to experience a wide range of characters. What more can an actor ask for?When a product is made, everyone hopes for the best. Whether it could have been better or not is more of an afterthought.I haven't thought about getting into production. I'm interested in the creative aspect of storytelling.I've always wanted to take up work that my heart is convinced about. And I shall continue to do so.I feel birth, death, marriage is destined, and these things can't be manipulated. I have surrendered my life completely. So, whenever it happens, I will accept it.There is no guarantee what will give you happiness any which way. I know many married people who are unhappy."
231,Samantha Akkineni,"I know many actresses who started big but were sent packing, as they couldn't sustain the momentum. I am in this for the long haul.I have always wanted to work with Lingusamy, as he is a master of commercial cinema. I have always admired his etching of female characters.People often ask me why I don't take up more heroine-oriented roles. My question is, 'Where are these roles?' I really appreciate actresses who sign only films with meaty roles. However, there aren't too many of them. The industry is simply male-dominated.I think people are able to relate to my appearance. They think of me as the girl next door.I am done with the cliched heroine roles. I can't go to work without a challenge. I want to do films that drive me, films in which I am a part of the main plot.I am my biggest critic. Even in films where people said they liked me, I have disliked myself.There's a thin line between catering to the masses and making a fool of yourself; I try to walk that line.There are thousands of good-looking women out there. Longevity for a heroine doesn't come only with good looks: talent matters.Only the film industry can make you an overnight success. Unlike other jobs where you have to work your way up, here you can reach dizzying heights of fame instantly.In the film industry, you are fictitious, just like the characters you play. It has a lot do with a perception about you, and not necessarily you. You are successful because people like that image of you on screen."
232,Sangeetha Krish,"I just did what the script demanded from me in 'Uyir.' I felt it was indeed a challenging role for me.I shy away from doing heroine-dominated subjects.Once 'Uyir' created a controversy, I had several offers coming my way with prominence to my character. However, I avoided them purposefully.Acting in a heroine-oriented film is a tough job.Dhanam' is one of the interesting scripts that I came across. It centers around me.I am very choosy and keen to do good roles.When I did 'Uyir,' I initially feared to do it. It was a controversial role. But thanks to my friends, they motivated me and helped me come out with aplomb.I thank my directors who keep faith in my acting credentials and give me roles like I did in 'Uyir' and 'Dhanam.'Much prior to my marriage, I loved donning homely-girl roles and perhaps now I can tread taking up best of that sort.I have proved my skills as an actress who can perform both character and glamour roles and 'Uyir' would take me to greater heights."
233,Sanjeeda Sheikh,"Understanding between a couple is the most important thing, rest everything follows.Marriage will be happy and blissful if you understand and support each other well.Love is out of this world feeling; nothing is as pure as love.DDLJ' - it's an out an out love story and one can relate to it. It's one of the best movies I have ever seen.I wasn't expecting a proposal from Aamir that night, especially when he had waited long hours for my shoot to get over and I too was drained after giving back-to-back scenes that involved portraying a lot of mental traumas and crying. As I came out of my shot, he stood in front of me, went down on his knees and proposed marriage.Aamir and I are still boyfriend-girlfriend. The other day we were discussing how we don't feel like husband-wife; however, the only thing that has changed after my wedding is that I get to meet my guy every day.I want to be choosy, because one has to invest a lot of time in TV shows.Television made me who I am.I felt people wouldn't be enticed by the web, but I was wrong. I too don't watch TV anymore, and only watch digital shows.The digital platform has its own viewership, but we have a lot of people who still watch saas-bahu shows. That is not going to change."
234,Sharmila Tagore,"I was very close to Mani Rabadi. She not only designed my clothes in some of my films, she was also a personal friend and guide when I was new to Mumbai.I worked with three designers in my heydays - Bhanu Aathiya, Shalini Shah and Mani Rabadi. Out of these, Mani was the least assertive and aggressive. I remember Bhanu used to be quite insistent and particular about her fees etc whereas Mani was too soft-spoken.Aradhana' was a very big hit while 'Avishkaar' is a cult film.Well, a daughter is someone you've grown up with, right? So you know her temperament, you know what makes her angry and how to deal with that person. You're meeting your daughter-in-law when she is an adult already and you don't quite know what her temperament is like, so it takes time to gel.I am a Bengali, I like my rice.I think it's quite a big decision for women to have children. In our time, I don't think we thought so much about it. We just went and had them and of course, life is not fun-filled and not complete if you don't have them. It's a wonderful thing when you think about it.I felt so much closer to my mother after I had babies. It bonds a mother and daughter more.I remember when Saif was a baby, the pediatrician had recommended that we give him orange juice to drink, but my mother said he was too small to be able to digest it and that I should dilute it with some water. I didn't listen and Saif had a tummy-ache. I guess mothers do sometimes know best and it's also the experience that counts.In my time, Mother's Day wasn't celebrated the way it is now. In fact, there used to be no Mother's Day for a long time.There's nothing like young children's energy... They are always curious, and enthusiastic about many different things."
235,Shefali Zariwala,"When 'Kaanta Laga' was offered to me, I was in college, doing my engineering course. I did the shooting of the song for some pocket money. I never imagined it to become such a huge hit.I am a very straight forward, no-nonsense woman.To cope with today's competition, you need to do whatever you want but with passion, confidence and attitude to match.Initially I used to find it very awkward when people used to turn back and stare, but now I am used to it and love all the attention.I believe every actor is trying to create an identity for himself or herself. My first song did that for me. There can be no other 'Kaanta laga' girl… ever. And I love that.My life has been nothing short of a fairy tale.When 'Baby Come Naa' was offered to me, I found the script so mind-blowing that I had to gather the courage to perform or it would have been completely my loss.Dancing has always been my comfort zone.My parents never leave me alone.We have to be responsible towards the environment when we celebrate our festivals."
236,Shilpa Shetty,"I try to be a good daughter, as I believe in karma and feel that how you are with your parents is directly proportionate to what you receive in your life. I am a big oneness follower, and our gurus have told us that if you want to achieve external happiness, you need to be happy internally. And your inner circle is your family.Not coming from a film background, be it a teeny-weeny role or a big role, I have done it with a lot of dignity and fought my way through. But the only thing that kept me going is that I am the sort of person who doesn't take no for an answer. If someone rejects me, I will be out to prove that person wrong in my own way.I like being innocent, but know now when I am being taken for a ride.If a guy wants to take me out, he must seek my dad's permission first. That's just the way it works.Yes, many people in rural parts of India are very orthodox and have arranged marriages. But I won't - I want to fall madly in love with someone and be whisked off my feet.I don't want to go into a marriage just because of my age - too many people make that mistake. But of course I'd like to be married one day - I dream of having children because I adore kids so, so much.OK, I'm not what you'd call 'wild.' But I'm no prude, either - I love to party, and I play a mean game of pool.I need someone to woo me. Magazines are always saying I am beautiful and millions of men want to woo me, but none has come forward because they are all so scared.I'm eulogised by a lot of men, but they wouldn't take me home to meet their mothers.If you saw me without concealer, you would see that I have raccoon eyes. And I think my forehead is too small. I am not quintessentially beautiful. I am photogenic, but that's only because I have learned how to make the best of what I've got from the make-up artists I have worked with."
237,Shilpa Shinde,"This is not a filmy line, but truth always wins.I have never hurt anyone, and that pays back. I have always wanted good for everyone.No artist from my industry has ever supported me, but all technicians have been on my side.It's not easy to cook for 20 people.I do not wish to work in the TV industry anymore.I am always confident that I am a good person.My confidence to win 'Bigg Boss' did not come from the number of fans I had before entering the house.I would rather explore the medium of films than television.I have been through so much.Let me tell you, everyone has different experiences. I had a lot of things going on, and I am dealing with it in my own way."
238,Shraddha Kapoor,"My style statement is to be myself! Because if you try to imitate someone else, you will end up feeling uncomfortable.I completely agree that a sound sleep is the best beauty product. Sound sleep, one of the most important but underrated thing, helps to make you more beautiful. I can never understand how people work so hard that they miss out on their sleep.I think broccoli is one of the must-have foods, as it contains multi nutrients and is high in vitamin C. Sweet potatoes are rich in complex carbohydrates, and fish, too, is healthy. There is nothing that I have on a daily basis, as it becomes monotonous.I use the products I endorse. For instance, I always carry the new Lakme Lip Love that I launched, and if you come home, there is one on my bedside table, too.When you know someone, and you get to work with them, automatically there is this comfort zone which comes in.Intimate scenes or a kiss is a very technical aspect of filmmaking. It is extremely mechanical.I always wanted to do something different with each film. So I guess that means that I wanted to not repeat myself. There has to be some kind of a new element in each project that I take up.I wasn't a friendly child. I was reserved and mostly kept to myself. My family tells me they've noticed a sea change in me after I've grown up. But I guess that's natural. Your surroundings, friends, college, etc. do make a lot of difference to your personality.Now I am also friendly with people who are not so nice to me. From what I've learnt, it's nice to be friendly. It's nice to make people feel good about themselves.I used to trust people easily, but now I'm a little careful because some experiences have taught me to not trust anyone blindly."
